OBJECTID,src_NAME_2,nbr_NAME_2,LENGTH,NODE_COUNT
1,Ahrweiler,Bonn,2.25646603649,0
2,Ahrweiler,Euskirchen,68.8560560293,0
3,Ahrweiler,Mayen-Koblenz,76.735528058,0
4,Ahrweiler,Neuwied,24.6448634534,0
5,Ahrweiler,Rhein-Sieg-Kreis,44.047794702,0
6,Ahrweiler,Vulkaneifel,39.6293573012,0
7,Aichach-Friedberg,Augsburg,43.3648986565,0
8,Aichach-Friedberg,Augsburg (Kreisfreie Stadt),35.1742013752,0
9,Aichach-Friedberg,Dachau,61.163147864,0
10,Aichach-Friedberg,Donau-Ries,17.1461886231,0
11,Aichach-Friedberg,Fürstenfeldbruck,35.9104114845,0
12,Aichach-Friedberg,Landsberg am Lech,22.4131197887,0
13,Aichach-Friedberg,Neuburg-Schrobenhausen,63.0049601751,0
14,Aichach-Friedberg,Pfaffenhofen an der Ilm,5.65387423643,0
15,Alb-Donau-Kreis,Biberach,150.506948785,0
16,Alb-Donau-Kreis,Göppingen,67.9558481958,0
17,Alb-Donau-Kreis,Günzburg,22.0181529769,0
18,Alb-Donau-Kreis,Heidenheim,58.7228738671,0
19,Alb-Donau-Kreis,Neu-Ulm,45.9227068927,0
20,Alb-Donau-Kreis,Reutlingen,75.867875474,0
21,Alb-Donau-Kreis,Ulm,91.1727214512,0
22,Altenburger Land,Burgenlandkreis,32.9233090317,0
23,Altenburger Land,Greiz,28.20578616,0
24,Altenburger Land,Leipzig,63.347774153,0
25,Altenburger Land,Mittelsachsen,9.95951745181,0
26,Altenburger Land,Zwickau,70.7793657314,0
27,Altenkirchen (Westerwald),Neuwied,74.6645049048,0
28,Altenkirchen (Westerwald),Oberbergischer Kreis,34.1705409277,0
29,Altenkirchen (Westerwald),Olpe,8.74009812466,0
30,Altenkirchen (Westerwald),Rhein-Sieg-Kreis,42.6420444732,0
31,Altenkirchen (Westerwald),Siegen-Wittgenstein,48.1230871932,0
32,Altenkirchen (Westerwald),Westerwaldkreis,85.086970435,0
33,Altmarkkreis Salzwedel,Börde,82.3602338204,0
34,Altmarkkreis Salzwedel,Gifhorn,62.7506981252,0
